"CpG_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"cg00007036",-0.383659120909154,0.850336050094824,-22.9731627290917,7.88518408323032e-87,2.24297447127487e-85,186.596012045584,"ZNF362"
"cg00009088",-0.259160758425363,0.499391762014773,-18.4195904995869,9.64298676866649e-62,1.42107950375984e-60,128.900230198919,"VPS37C"
"cg00011513",0.244954935995682,0.652021704988028,45.8669043808178,4.75436694160832e-210,2.71607018413069e-207,470.297208727933,"LCE5A"
"cg00014638",0.270428103099191,0.66205726679764,32.5397478597984,1.21919143350878e-140,1.24520727238228e-138,310.460712176269,"MARCH5"
"cg00019654",-0.230538878795034,0.563858462603819,-24.3865919816435,8.45126150400133e-95,2.94546188666609e-93,204.934726271083,NA
"cg00027570",0.25110888758101,0.600141526201503,19.2751883020519,2.37534451865515e-66,3.98093030151157e-65,139.49426124659,"CD2"
"cg00029521",0.221239532994573,0.694495085333686,35.4002296303346,2.84396073169194e-156,4.21888054077447e-154,346.456219688691,"KCNK17"
"cg00029521",0.221239532994573,0.694495085333686,35.4002296303346,2.84396073169194e-156,4.21888054077447e-154,346.456219688691,"KCNK17"
"cg00040837",-0.210112570653395,0.531388850339862,-16.2104940332658,3.41623600940624e-50,3.56148901189834e-49,102.363837421915,NA
"cg00046623",-0.312920493093208,0.806243056331111,-41.3765771829844,1.09908297365546e-187,3.46056637911855e-185,418.795375838316,"PXDNL"
"cg00048759",-0.221040213695125,0.378261133059643,-38.2871893703346,1.13233637500915e-171,2.39966739991577e-169,381.919367725244,"GPC2"
"cg00048759",-0.221040213695125,0.378261133059643,-38.2871893703346,1.13233637500915e-171,2.39966739991577e-169,381.919367725244,"STAG3"
"cg00052684",-0.215842589169387,0.373500013234759,-18.5463563037029,2.0209173520318e-62,3.03747174261317e-61,130.460183996799,"FKBP5"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00088033",0.27635630693253,0.147890757662993,52.3319527419871,2.46635906337156e-240,4.19515623044982e-237,540.037007133136,"SYNRG"
"cg00091349",-0.205100711499038,0.583596583412771,-15.0021316770808,3.82345592841679e-44,3.275459822361e-43,88.4756835768041,"MED12L"
"cg00091349",-0.205100711499038,0.583596583412771,-15.0021316770808,3.82345592841679e-44,3.275459822361e-43,88.4756835768041,"P2RY13"
"cg00101629",-0.225738315735992,0.775535161104477,-12.2721161962559,2.08811337505148e-31,1.14221674792921e-30,59.2676393731024,"KIAA1026"
"cg00101629",-0.225738315735992,0.775535161104477,-12.2721161962559,2.08811337505148e-31,1.14221674792921e-30,59.2676393731024,"KIAA1026"
"cg00104098",-0.250104625325636,0.606763550137095,-37.565689076764,7.31993120980526e-168,1.42387138248926e-165,373.144289474515,"MORN1"
"cg00106685",0.464008571722136,0.196729582093286,47.2235999749802,1.36632332748088e-216,9.45255486985789e-214,485.361429925659,"GNL3"
"cg00106685",0.464008571722136,0.196729582093286,47.2235999749802,1.36632332748088e-216,9.45255486985789e-214,485.361429925659,"PBRM1"
"cg00106685",0.464008571722136,0.196729582093286,47.2235999749802,1.36632332748088e-216,9.45255486985789e-214,485.361429925659,"GNL3"
"cg00106685",0.464008571722136,0.196729582093286,47.2235999749802,1.36632332748088e-216,9.45255486985789e-214,485.361429925659,"GNL3"
"cg00106685",0.464008571722136,0.196729582093286,47.2235999749802,1.36632332748088e-216,9.45255486985789e-214,485.361429925659,"GNL3"
"cg00124488",-0.238666978360771,0.203227981828583,-51.6128002137449,4.47712880123365e-237,6.66345512337029e-234,532.532710940031,"BAT1"
"cg00124488",-0.238666978360771,0.203227981828583,-51.6128002137449,4.47712880123365e-237,6.66345512337029e-234,532.532710940031,"BAT1"
"cg00124488",-0.238666978360771,0.203227981828583,-51.6128002137449,4.47712880123365e-237,6.66345512337029e-234,532.532710940031,"BAT1"
"cg00124488",-0.238666978360771,0.203227981828583,-51.6128002137449,4.47712880123365e-237,6.66345512337029e-234,532.532710940031,"BAT1"
"cg00124488",-0.238666978360771,0.203227981828583,-51.6128002137449,4.47712880123365e-237,6.66345512337029e-234,532.532710940031,"SNORD84"
"cg00157109",0.227023083287563,0.683976770270936,40.2256194887604,8.87571598060618e-182,2.43679873942549e-179,405.191742053186,"PRKAG2"
"cg00158122",-0.207322619968608,0.337155726603611,-25.1706879239147,3.09951166821256e-99,1.19555273044994e-97,215.14250604215,NA
"cg00159523",-0.24277901396549,0.453932609216378,-14.2079607003331,2.70304302975693e-40,2.03514481968684e-39,79.6424766695912,"TCF7L2"
"cg00159523",-0.24277901396549,0.453932609216378,-14.2079607003331,2.70304302975693e-40,2.03514481968684e-39,79.6424766695912,"TCF7L2"
