"CpG_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"cg00000029",0.214493849609313,0.564867823778367,25.6938142325179,3.3830322392e-102,1.57686523717189e-100,221.956613489953,"RBL2"
"cg00001793",0.231465616980251,0.692522498644542,26.2815124679685,1.58856455169777e-105,8.61191944775116e-104,229.617081527232,"ETV6"
"cg00002837",0.205719454247023,0.378106768219218,29.2171388183655,4.1580670867139e-122,5.82635468437586e-120,267.78832859656,NA
"cg00005166",0.228374904139896,0.668846655981393,20.3688634235667,2.51258949755692e-72,4.02916411815743e-71,153.231501777687,"OR1F2P"
"cg00005619",0.237830327123364,0.571226729282467,26.4464344125941,1.84966857837355e-106,1.0423316693123e-104,231.766661389435,"FAM180B"
"cg00009088",0.377747611046672,0.499391762014773,26.9371806350396,3.08238074160229e-109,1.97876335652693e-107,238.161439956139,"VPS37C"
"cg00009306",-0.270897256660235,0.5561296264947,-20.3928077733112,1.85510805602404e-72,2.98679526465107e-71,153.53449220749,NA
"cg00010078",0.289849245062927,0.516445881251634,27.4805271794015,2.60065714920614e-112,1.97395592875317e-110,245.236918122896,"SH3RF3"
"cg00010672",-0.324127430293541,0.665123988532041,-19.875646050055,1.2752275333126e-69,1.88266558922532e-68,147.01011274785,NA
"cg00010853",-0.222123637404955,0.325368005534764,-22.6993511394018,2.72198644807393e-85,6.60182757646956e-84,183.054374307875,"KIAA1949"
"cg00010853",-0.222123637404955,0.325368005534764,-22.6993511394018,2.72198644807393e-85,6.60182757646956e-84,183.054374307875,"KIAA1949"
"cg00011856",0.229756386837578,0.593338213661431,25.8213120199788,6.41591661959889e-103,3.08622232860661e-101,223.618451448029,"IGFBP5"
"cg00014561",0.230654661318374,0.399926654669022,27.5144211729829,1.67278687774821e-112,1.28542364333867e-110,245.678063357866,"NUP93"
"cg00017826",-0.245060555843225,0.799184552694078,-22.7290547165974,1.85416141969798e-85,4.52346002818188e-84,183.43798759598,NA
"cg00020474",0.205773391642669,0.316253905016451,21.560462432189,6.35475287925847e-79,1.25064245518884e-77,168.40449366587,NA
"cg00026290",0.311041316225218,0.227774031187025,30.0168704521204,1.34434688122472e-126,2.61839767305539e-124,278.126289948741,"CLNK"
